image,frequency,alpha,beta,dielectric
waveform_0.png,6916178438.80027,0.07126916648300824,4.867336307873808,8.945019179840418
waveform_1.png,3961670241.622207,0.43835289533689364,2.8378960599743963,11.335956805080581
waveform_2.png,3773629586.0701036,0.3158741537754546,3.0685139423430257,7.384418565580508
waveform_3.png,6771357985.280036,0.444715792971061,5.689248804125611,3.0444206531813998
waveform_4.png,5344952239.240873,0.16363511134831296,3.3217545292396276,6.301300540807216
waveform_5.png,1042910385.9921062,0.2545205035225962,4.545877060418119,9.596388677532781
waveform_6.png,459640547.36269426,0.3396377564368937,1.9102847297932146,11.437606017261903
waveform_7.png,9913884465.947046,0.06982133106844568,0.3398138654481741,11.281389612758307
waveform_8.png,1282847080.9263973,0.03674839807818298,1.410502915523349,5.249304045833922
waveform_9.png,6137218974.514051,0.13401507228460816,0.9756867871726501,3.1345574945382015
waveform_10.png,105576055.96076258,0.1081278885942032,3.4755455352588633,9.888690953591212
waveform_11.png,8943593841.762135,0.1405290786310457,4.127421642036457,5.455355948809217
waveform_12.png,284163280.6543505,0.17465440482073175,3.2217010913004076,1.5556721655967665
waveform_13.png,1733135971.9135594,0.07438541764241229,2.366003754495041,2.219898841512806
waveform_14.png,7628424996.078714,0.2953311074223529,4.363778224867731,4.019100608955486
waveform_15.png,9563824958.64579,0.02171425651050095,4.208423392165916,6.152801314860687
waveform_16.png,8031495668.090655,0.15178752607987814,2.1620247709939706,4.431565322140314
waveform_17.png,986683285.706982,0.18752289229064073,4.125066957008812,8.869963398043726
waveform_18.png,117566777.16525754,0.2629964171020034,0.6811353123526865,11.867288350403161
waveform_19.png,5354063665.3704405,0.09269169518521016,5.465432310268482,4.755099153345332
waveform_20.png,7800985290.158398,0.35615744047559744,3.234554537301801,6.493897137799475
waveform_21.png,9842933108.872847,0.3931880314869705,0.6828865920926898,11.204636529628116
waveform_22.png,6127706147.680824,0.04561672906688661,5.4710614861286295,1.7092271050128611
waveform_23.png,5511944137.898379,0.13625067849409878,3.8168527280928344,7.294344108033802
waveform_24.png,5042188341.000001,0.28224498956499666,5.556468847287199,3.5381566769949333
waveform_25.png,5165222677.303164,0.433080826542654,0.6624401989117537,7.258931054032173
waveform_26.png,5846714541.463903,0.07145852122619106,3.0834842968808878,4.4973059486619995
waveform_27.png,8913601305.972315,0.4347585073653408,4.52174984090975,5.566604012732011
waveform_28.png,1316389264.527455,0.14529437195726244,4.229189383372935,1.5810319978658511
waveform_29.png,5559493479.747892,0.08186277368138349,3.427609271643337,4.429447691258895
waveform_30.png,7120570693.30186,0.4306301248181458,3.650659176639092,8.691793592860055
waveform_31.png,3647772434.1865234,0.2930765948141997,3.148498199190533,2.3524209508892575
waveform_32.png,1553445398.701983,0.37942113793255167,5.933139780908964,11.309516477698144
waveform_33.png,7807580607.73183,0.1939979168568134,0.2317723153265866,9.68833592013666
waveform_34.png,3023832959.596153,0.35915536591438463,4.152782486926531,7.094358723519587
waveform_35.png,8943199004.552727,0.28741358171205716,0.7066890986964555,6.050653379745766
waveform_36.png,7415555310.714346,0.35154285515652073,6.198955723841401,3.5214535588697884
waveform_37.png,7930108066.890492,0.29473219816124036,2.2254978682291475,3.9067175505148612
waveform_38.png,9096886770.298042,0.34692413698609986,1.5040091489885377,6.507476263436657
waveform_39.png,2100750123.5663912,0.1692938138613258,1.727456513081189,7.095882805551776
